,id,updatedAt,preferredBuyers,filter_keywords,must_list,bam_id,cusip_isin,title,pitch,assetClass,customAssetClass,currency,instrumentType,customInstrumentType,notional,industryRisk,maturity,dateOfArrears,chapter11,contractualForum,coupon,debtor,collateral,collateralType,customCollateralType,collateralRegistration,fiduciaryAgent,registrationAgent,priceTerms,negotiationTerms,intermediaryUser,researchBAMLink,askingPrice,publishedPrice,minOffer,totalDebt,marketCap,creditRating,companyType,equityConvertInstrument,debtSeniority,nonEquityOptional,createdAt,cost,bamRank,failed,failedPrice,notified,privacy,user,webSource,creditor,creditorContact,noticeParty_lawFirm,noticeParty_person,noticePersonContact,proofOfClaim,transfer_asset,notifiedUser,sectorType,sectorRatingCoeff_1,sectorRatingCoeff_2,sectorRatingCoeff_3,sectorRatingCoeff_4,sectorRatingCoeff_5,creditRatingCoeff_1,creditRatingCoeff_2,creditRatingCoeff_3,creditRatingCoeff_4,creditRatingCoeff_5,creditType,sellability_raw_score,isActiveByUser,isActiveByBAM,Map,Color
0,5b7608d2284830de077ece50,2019/5/24,,,|Amundi Spezial 1,,,123,,Performing Fixed Income,,MXN,Other,1233321,$121 ,123,2018/1/2,,,,,123,Yes,Natural Reserves,,No,,,Clean,Accept Offers,,,,,,"100,000",,rating,,,,,2018/8/16,476,,False,,True,,Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBB,,True,True,IG5Y,orange
1,5b81c6b37592aade1e90e6e8,2019/5/29,,,,,BRGRDRDBS006,ABCD25,,Distressed,,BRL,Debenture,,"80,000,000 BRL",,41627,,,,"DI + 4,00% a.a.",A Geradora Aluguel de M????quinas S.A.,,,,,Banco Votorantim S.A.,,,Accept Offers,,,,,0.0,,,,,,,,2018/8/25,"10,625",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,HY10Y,purple
2,5b81c6b37592aade1e90e6ea,2019/5/29,,,,,BRPDGSCRI031,EFGHIJK17,,Performing Fixed Income,,BRL,MBS/CRI,,"186,862,757 BRL",,42619,,,,"IGP-M + 9,4% a.a.",????pice Securitizadora S.A.,,,,,,,,Only Offline,,,,,0.0,,,,,,,,2018/8/25,"23,800",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,IG5Y,orange
3,5b81c79e7592aade1e90e6f5,2019/5/29,,,,,BRGRDRDBS006,ABCD25,,Distressed,,BRL,Debenture,,"80,000,000 BRL",,41627,,,,"DI + 4,00% a.a.",A Geradora Aluguel de M????quinas S.A.,,,,,Banco Votorantim S.A.,,,Accept Offers,,,,,0.0,,,,,,,,2018/8/25,"10,625",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,HY10Y,purple
4,5b81c79e7592aade1e90e6f7,2019/5/29,,,,,BRPDGSCRI031,EFGHIJK17,,Performing Fixed Income,,BRL,MBS/CRI,,"186,862,757 BRL",,42619,,,,"IGP-M + 9,4% a.a.",????pice Securitizadora S.A.,,,,,,,,Only Offline,,,,,0.0,,,,,,,,2018/8/25,"23,800",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,IG5Y,orange
5,5b81c7bf7592aade1e90e702,2019/5/29,,,,,BRGRDRDBS006,ABCD25,,Distressed,,BRL,Debenture,,"80,000,000 BRL",,41627,,,,"DI + 4,00% a.a.",A Geradora Aluguel de M????quinas S.A.,,,,,Banco Votorantim S.A.,,,Accept Offers,,,,,0.0,,,,,,,,2018/8/25,"10,625",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,HY10Y,purple
6,5b81c7bf7592aade1e90e704,2019/5/29,,,,,BRPDGSCRI031,EFGHIJK17,,Performing Fixed Income,,BRL,MBS/CRI,,"186,862,757 BRL",,42619,,,,"IGP-M + 9,4% a.a.",????pice Securitizadora S.A.,,,,,,,,Only Offline,,,,,0.0,,,,,,,,2018/8/25,"23,800",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,IG5Y,orange
7,5b81ca427592aade1e90e734,2019/4/24,,,,,,test123,,Distressed,,USD,MBS/CRI,,$121 ,123,,,No,,,123,No,,,,,,Clean,Accept Offers,,,,,,,,,,,,,2018/8/25,,,False,,True,,Mengke Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBB,,True,True,HY10Y,purple
8,5b81cc3472f94dd8348e6584,2019/4/24,,,,,,test3,,Performing Fixed Income,,USD,Debenture,,$123 ,123,,,,,,123,No,,,,,,Clean,Accept Offers,,,,,,,,,,,,,2018/8/25,,,False,,True,,Mengke Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5c6ddb6ae207674f21873d51|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBB,,True,True,IG5Y,orange
9,5b918a0f0a2d0f1518ce222d,2019/5/28,,,,,,abc,abc,Performing Fixed Income,,,Other,bond,123,123,,,,,,abc,Yes,,,,,,Clean,Accept Offers,,,,,,,123,,Public,,,,2018/9/6,560,,False,,False,,Geraldo Filgueiras,,,,,,,,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBB,,False,True,IG5Y,orange
10,5b918a270a2d0f1518ce222f,2019/5/29,,,,,,abc,abc,Performing Fixed Income,,,Other,bond,123,,,,,,,abc,Yes,,,,,,Clean,Accept Offers,,,,,,,123,,Public,,,,2018/9/6,560,,False,,False,,Geraldo Filgueiras,,,,,,,,False,,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,False,True,IG5Y,orange
11,5b918c640a2d0f1518ce2232,2019/5/29,,,,,,abc,abc,Performing Fixed Income,,USD,Other,bond,$123 ,Oil & Gas Operations,,,,,,abc,Yes,,,,,,Clean,Accept Offers,,,,,,,123,,,,,,2018/9/6,560,,False,,False,,Geraldo Filgueiras,,,,,,,,False,,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,False,True,IG5Y,orange
12,5b91a0de0a2d0f1518ce224a,2019/5/31,,,,,,abc,abc,Performing Fixed Income,,USD,Other,,$123 ,Oil & Gas Operations,,,,,,abc,Yes,,,,,,Clean,Accept Offers,,,,,,123,123,AA,Public,convert,senior,Yes,2018/9/6,560,,False,,False,,Geraldo Filgueiras,,,,,,,,False,,Energy,3.3237e-05,-2.1316e-05,4.74e-07,2.26157e-05,0.0,-0.0035679,-0.00214074,-0.00214074,0.00142716,0.00142716,A,,False,True,IG5Y,orange
13,5b92c3420a2d0f1518ce2275,2019/4/24,,,,,,ALLY 3 ?? 11/18/19,,Performing Fixed Income,,USD,Other,,"$7,098,969 ",Financial Institutions,42325,,,,0.07,Ally Financial Inc,Yes,,,,,,Clean,Accept Offers,,,,2.0,0.0,,,,,,,,2018/9/7,"4,760",,True,1,True,,User C,,AMERICAN HIGH-INCOME TRUST,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBB,0.0031971129999999997,True,True,IG5Y,orange
14,5b92c49a2b265154279531df,2019/4/24,,,,,,ALLY 3 ?? 11/18/19,,Performing Fixed Income,,USD,Other,,"$7,098,969 ",Financial Institutions,42325,,,,7,Ally Financial Inc,,,,,,,,Accept Offers,,,,2.0,0.0,,,,,,,,2018/9/7,"4,760",,True,2,True,,User C,,AMERICAN HIGH-INCOME TRUST,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BBB,0.0031971129999999997,True,True,IG5Y,orange
15,5b930e86d12495b72cdf77c1,2019/5/29,,,,,1234,swed,TEST,Performing Fixed Income,,USD,CCB,,$0 ,Energy,,,,,,asda,Yes,,,,,,Clean,Accept Offers,,,,,,,,BBB,,,,,2018/9/7,,,False,,True,,User C,,,,,,,,False,undefined|576bc033606c21de7926318e|576be063132aacb71696af60|57bb4470398c20f82c86a521|5b141f28df78f8316892ffc6|5bb67723188130a30ef3461f|5c6ddb6ae207674f21873d51,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,False,True,IG5Y,orange
16,5b946e37d12495b72cdf77f9,2019/5/29,,,,,BRPDGSCRI031,EFGHIJK17,,Performing Fixed Income,,BRL,MBS/CRI,,"186,862,757 BRL",,35704,,,,"IGP-M + 9,4% a.a.",??,,,,,,,,Only Offline,,,,,0.0,,,,,,,,2018/9/8,"23,800",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,IG5Y,orange
17,5b947067d12495b72cdf7825,2019/5/29,,,,,BRPDGSCRI031,EFGHIJK17,,Performing Fixed Income,,BRL,MBS/CRI,,"186,862,757 BRL",,35704,,,,"IGP-M + 9,4% a.a.",??,,,,,,,,Only Offline,,,,,0.0,,,,,,,,2018/9/8,"23,800",,False,,True,"title,pitch",Howard Zhang,,,,,,,,False,undefined|5b10ddaedf78f8316892ffb6|5b141f28df78f8316892ffc6|5c4a0111b5936e9c0deab025|5c4a15586f9ce8951bbecae8|5c52598e5c124a9f401fbc46|5c547c04024e54ec649a9fbf|5bb67723188130a30ef3461f|5cb5ec3d1815c41b3fbaeb3f|5cc0cc2d39feabe5537781fc,Energy,-0.00076846,0.00049284,-1.09695e-05,-0.000522889,0.0,-0.001656272,-0.001104181,0.001104181,0.001104181,-0.000552091,BBB,,True,True,IG5Y,orange
